"ID","Section","Topic","Difficulty","Score","Source","Stem"
"math-alg-001","math","algebra","easy","4.0","generated","Solve for x: 2x + 3 = 11"
"math-alg-002","math","algebra","easy","4.0","generated","Simplify: 3x + 2x"
"math-alg-003","math","algebra","easy","4.0","generated","If x - 5 = 3, what is x?"
"math-alg-004","math","algebra","easy","4.0","generated","What is 4 × 3 + 2?"
"math-alg-005","math","algebra","easy","4.0","generated","Solve: 5x = 25"
"math-alg-006","math","algebra","medium","4.0","generated","Solve: 2x + 5 = x + 8"
"math-alg-007","math","algebra","medium","3.5","generated","Factor: x² + 5x + 6"
"math-alg-008","math","algebra","medium","3.5","generated","What is the slope of y = 2x - 5?"
"math-alg-009","math","algebra","medium","4.0","generated","Solve: 3(x - 2) = 9"
"math-alg-010","math","algebra","hard","3.0","generated","Solve: x² - 5x + 6 = 0"
"math-alg-011","math","algebra","hard","3.0","generated","Solve: |x - 3| = 5"
"math-alg-012","math","algebra","hard","3.0","generated","If f(x) = 2x² - 3, what is f(2)?"
"math-adv-001","math","advanced-math","easy","4.0","generated","What is √16?"
"math-adv-002","math","advanced-math","easy","4.0","generated","What is 2³?"
"math-adv-003","math","advanced-math","medium","3.5","generated","Simplify: x⁴ × x³"
"math-adv-004","math","advanced-math","medium","3.5","generated","Simplify: (x²)³"
"math-adv-005","math","advanced-math","hard","3.0","generated","If 2^x = 16, what is x?"
"math-prob-001","math","problem-solving-data-analysis","easy","4.0","generated","What is 50% of 80?"
"math-prob-002","math","problem-solving-data-analysis","easy","4.0","generated","If 10% of x is 5, what is x?"
"math-prob-003","math","problem-solving-data-analysis","medium","3.5","generated","Average of 10, 20, 30, 40 is?"
"math-prob-004","math","problem-solving-data-analysis","medium","3.5","generated","A $100 item has a 30% discount. Final price?"
"math-geo-001","math","geometry-trigonometry","easy","4.0","generated","Area of rectangle: length 5, width 3?"
"math-geo-002","math","geometry-trigonometry","medium","3.5","generated","Circumference of circle: radius 2?"
"math-geo-003","math","geometry-trigonometry","hard","3.5","generated","Right triangle legs 3 and 4. Hypotenuse?"
"read-info-001","reading-writing","information-and-ideas","easy","4.0","generated","What is a consequence of rising temperatures?"
"read-info-002","reading-writing","information-and-ideas","medium","4.0","generated","What does the passage indicate about the Renaissan"
"read-craft-001","reading-writing","craft-and-structure","medium","3.5","generated","What is the tone of: 'The decision was absolutely "
"read-expr-001","reading-writing","expression-of-ideas","medium","2.0","generated","Which revision improves clarity: 'The report that "
"read-std-001","reading-writing","standard-english-conventions","easy","4.0","generated","Which is correct?"
"read-std-002","reading-writing","standard-english-conventions","medium","3.5","generated","Fix: 'Between you and I, the answer is wrong'"
"math-alg-013","math","algebra","medium","4.0","generated","Solve: 4x - 3 = 2x + 5"
"math-alg-014","math","algebra","hard","3.0","generated","What is the vertex of y = (x - 2)² + 1?"
"math-geo-001","math","geometry-trigonometry","easy","4.0","generated","Area of rectangle: length 5, width 4?"
"math-geo-002","math","geometry-trigonometry","easy","4.0","generated","Perimeter of rectangle: length 6, width 4?"
"math-geo-003","math","geometry-trigonometry","easy","4.0","generated","What is the area of a triangle with base 10 and he"
"math-geo-004","math","geometry-trigonometry","easy","4.0","generated","What is the circumference of a circle with radius "
"math-geo-005","math","geometry-trigonometry","easy","4.0","generated","Area of circle with radius 3?"
"math-geo-006","math","geometry-trigonometry","medium","3.5","generated","Right triangle: legs 5 and 12. Hypotenuse?"
"math-geo-007","math","geometry-trigonometry","medium","3.5","generated","Diagonal of square with side 4?"
"math-geo-008","math","geometry-trigonometry","medium","3.5","generated","Volume of rectangular box: length 4, width 3, heig"
"math-geo-009","math","geometry-trigonometry","medium","3.5","generated","Area of trapezoid: bases 4 and 6, height 3?"
"math-geo-010","math","geometry-trigonometry","medium","3.5","generated","Distance between (0,0) and (3,4)?"
"math-geo-011","math","geometry-trigonometry","hard","3.0","generated","Angles in triangle sum to?"
"math-geo-012","math","geometry-trigonometry","hard","3.5","generated","In triangle: one angle 60°, another 80°. Third?"
"math-geo-013","math","geometry-trigonometry","hard","3.0","generated","If triangle has sides 3, 4, 5, it's?"
"math-geo-014","math","geometry-trigonometry","hard","3.0","generated","Surface area of cube with side 2?"
"math-geo-015","math","geometry-trigonometry","hard","3.5","generated","Two parallel lines cut by transversal. Alternate i"
"math-geo-016","math","geometry-trigonometry","easy","4.0","generated","Circumference of circle with diameter 10?"
"math-geo-017","math","geometry-trigonometry","medium","3.5","generated","Area of equilateral triangle with side 4?"
"math-geo-018","math","geometry-trigonometry","medium","3.5","generated","Angles in quadrilateral sum to?"
"math-geo-019","math","geometry-trigonometry","hard","3.0","generated","Regular hexagon with side 2. Area?"
"math-geo-020","math","geometry-trigonometry","hard","3.0","generated","Sphere radius 3. Volume?"
"read-info-001","reading-writing","information-and-ideas","easy","4.0","generated","What pattern is described?"
"read-info-002","reading-writing","information-and-ideas","easy","4.0","generated","What are the requirements for plant growth?"
"read-info-003","reading-writing","information-and-ideas","medium","4.0","generated","What is the chain of effects described?"
"read-info-004","reading-writing","information-and-ideas","medium","4.0","generated","What was the geographical origin?"
"read-info-005","reading-writing","information-and-ideas","hard","4.0","generated","What is emphasized about the scientific method?"
"read-craft-001","reading-writing","craft-and-structure","easy","4.0","generated","What tone is conveyed: 'The results were disappoin"
"read-craft-002","reading-writing","craft-and-structure","medium","3.5","generated","What does an exclamation point primarily add?"
"read-craft-003","reading-writing","craft-and-structure","medium","3.5","generated","How does this affect tone: 'The meeting was, unfor"
"read-craft-004","reading-writing","craft-and-structure","hard","3.0","generated","What structure best shows contrast?"
"read-craft-005","reading-writing","craft-and-structure","hard","3.5","generated","Identify the transition: 'First we observed. _____"
"read-expr-001","reading-writing","expression-of-ideas","easy","4.0","generated","Which is clearest: (A) 'The book by John was good'"
"read-expr-002","reading-writing","expression-of-ideas","medium","3.5","generated","Improve: 'The report that was written by the team "
"read-expr-003","reading-writing","expression-of-ideas","medium","3.5","generated","Which revision improves flow?"
"read-expr-004","reading-writing","expression-of-ideas","hard","3.5","generated","What makes this wordy: 'There are many students wh"
"read-expr-005","reading-writing","expression-of-ideas","hard","3.5","generated","Combine sentences best: 'The sun is bright. It war"
"read-std-001","reading-writing","standard-english-conventions","easy","4.0","generated","Correct form: 'She _____ to the store yesterday.'"
"read-std-002","reading-writing","standard-english-conventions","easy","4.0","generated","Choose correct pronoun: 'He gave the book to _____"
"read-std-003","reading-writing","standard-english-conventions","easy","4.0","generated","Correct: 'The dogs _____ (is/are) playing.'"
"read-std-004","reading-writing","standard-english-conventions","medium","3.5","generated","Fix: 'Between you and I, the answer is wrong.'"
"read-std-005","reading-writing","standard-english-conventions","medium","3.5","generated","Subject-verb agreement: 'The team _____ (is/are) r"
"read-std-006","reading-writing","standard-english-conventions","medium","3.5","generated","Correct comma usage: 'I like apples oranges and ba"
"read-std-007","reading-writing","standard-english-conventions","hard","3.5","generated","Subjunctive mood: 'If I _____ (was/were) president"
"read-std-008","reading-writing","standard-english-conventions","hard","3.5","generated","Parallel structure: 'I like reading, _____, and sw"
"read-std-009","reading-writing","standard-english-conventions","hard","3.5","generated","Pronoun antecedent agreement: 'Each student brough"
"read-std-010","reading-writing","standard-english-conventions","hard","3.5","generated","Apostrophe use: 'The cat's toy' vs 'The cats toy'"
"math-geo-021","math","geometry-trigonometry","easy","4.0","generated","Right angle measures?"
"math-geo-022","math","geometry-trigonometry","easy","4.0","generated","Straight line angle is?"
"math-geo-023","math","geometry-trigonometry","medium","3.5","generated","Complementary angles sum to?"
"math-geo-024","math","geometry-trigonometry","medium","3.5","generated","Supplementary angles sum to?"
"math-geo-025","math","geometry-trigonometry","hard","3.0","generated","Vertical angles are?"
"read-info-006","reading-writing","information-and-ideas","easy","4.0","generated","What is the boiling point of water?"
"read-info-007","reading-writing","information-and-ideas","medium","4.0","generated","What is a result of photosynthesis?"
"read-info-008","reading-writing","information-and-ideas","hard","3.0","generated","What is the main idea?"
"read-craft-006","reading-writing","craft-and-structure","easy","4.0","generated","Rhetorical question purpose?"
"read-craft-007","reading-writing","craft-and-structure","medium","3.5","generated","What structure is this: 'Fast as lightning, the ru"
"read-craft-008","reading-writing","craft-and-structure","medium","3.5","generated","Purpose of transition 'In conclusion'?"
"read-craft-009","reading-writing","craft-and-structure","hard","3.0","generated","What does allusion provide?"
"read-craft-010","reading-writing","craft-and-structure","hard","3.0","generated","How does irony work?"
"read-expr-006","reading-writing","expression-of-ideas","easy","4.0","generated","Complete idea (not fragment): 'Running in the park"
"read-expr-007","reading-writing","expression-of-ideas","medium","3.5","generated","Avoid run-on: 'I like reading I also like writing."
"read-expr-008","reading-writing","expression-of-ideas","medium","3.5","generated","Misplaced modifier: Fix 'Watching the sunset, the "
"read-expr-009","reading-writing","expression-of-ideas","hard","3.5","generated","Reduce wordiness: 'The reason why he left was beca"
"read-expr-010","reading-writing","expression-of-ideas","hard","3.0","generated","Which shows most active voice?"
"read-std-011","reading-writing","standard-english-conventions","easy","4.0","generated","Possessive pronoun: 'This book is _____.'"
"read-std-012","reading-writing","standard-english-conventions","medium","3.5","generated","Who vs whom: 'To _____ should I give this?'"
"read-std-013","reading-writing","standard-english-conventions","medium","3.5","generated","Dangling modifier: 'Running late, the car sped up."
"read-std-014","reading-writing","standard-english-conventions","hard","3.5","generated","Correct sequence: 'Having studied, the student too"
"read-std-015","reading-writing","standard-english-conventions","hard","3.5","generated","Verb tense consistency: 'She walks to school and t"
"opensat-alg-001","math","algebra","easy","4.0","opensat","Solve: x + 7 = 15"
"opensat-alg-002","math","algebra","easy","4.0","opensat","Simplify: 2(3x + 4)"
"opensat-alg-003","math","algebra","medium","4.0","opensat","Solve: 2x - 5 = 11"
"opensat-alg-004","math","algebra","medium","4.0","opensat","If f(x) = x + 3, find f(5)"
"opensat-alg-005","math","algebra","hard","3.0","opensat","Solve: x² - 9 = 0"
"opensat-adv-001","math","advanced-math","easy","4.0","opensat","What is √36?"
"opensat-adv-002","math","advanced-math","medium","3.5","opensat","Simplify: x⁵/x²"
"opensat-adv-003","math","advanced-math","hard","3.0","opensat","If 3^x = 27, what is x?"
"opensat-prob-001","math","problem-solving-data-analysis","easy","4.0","opensat","If 25% of x is 10, what is x?"
"opensat-prob-002","math","problem-solving-data-analysis","medium","3.5","opensat","Average of 5, 10, 15, 20 is?"
"opensat-geo-001","math","geometry-trigonometry","easy","4.0","opensat","Area of square with side 5?"
"opensat-geo-002","math","geometry-trigonometry","medium","3.5","opensat","Perimeter of triangle with sides 3, 4, 5?"
"agieval-alg-001","math","algebra","easy","4.0","agieval","Solve: 3x = 21"
"agieval-alg-002","math","algebra","medium","4.0","agieval","Solve: 2(x + 3) = 14"
"agieval-adv-001","math","advanced-math","medium","3.5","agieval","What is √64?"
"agieval-prob-001","math","problem-solving-data-analysis","easy","4.0","agieval","30% of 100 is?"
"agieval-geo-001","math","geometry-trigonometry","easy","4.0","agieval","Circumference of circle: radius 4?"
"kaggle-alg-001","math","algebra","medium","4.0","kaggle","Solve: x² + 4x + 3 = 0"
"kaggle-alg-002","math","algebra","hard","3.5","kaggle","What is the slope of line through (1,2) and (3,6)?"
"kaggle-prob-001","math","problem-solving-data-analysis","medium","3.5","kaggle","A book costs $20 with 15% discount. Final price?"
"kaggle-geo-001","math","geometry-trigonometry","hard","3.5","kaggle","Triangle with sides 5, 12, 13 has right angle?"
"read-info-001","reading-writing","information-and-ideas","easy","4.0","generated","What does the Internet enable?"
"read-info-002","reading-writing","information-and-ideas","medium","4.0","generated","How do vaccines work?"
"read-craft-001","reading-writing","craft-and-structure","easy","4.0","generated","What is the effect of: 'The storm was absolutely d"
"read-craft-002","reading-writing","craft-and-structure","medium","3.5","generated","Purpose of ellipsis (...) in: 'I couldn't believe."
"read-expr-001","reading-writing","expression-of-ideas","easy","4.0","generated","Which is a complete sentence?"
"read-expr-002","reading-writing","expression-of-ideas","medium","3.5","generated","Combine for clarity: 'I like pizza. I like burgers"
"read-std-001","reading-writing","standard-english-conventions","easy","4.0","generated","Correct form: 'She _____ to the store.'"
"read-std-002","reading-writing","standard-english-conventions","medium","3.5","generated","Choose: 'Neither the teacher nor the students ____"
"opensat-alg-006","math","algebra","easy","4.0","opensat","Solve: 5x - 2 = 8"
"opensat-alg-007","math","algebra","medium","3.5","opensat","Factor: x² - 16"
"opensat-adv-004","math","advanced-math","easy","4.0","opensat","What is 2⁴?"
"opensat-prob-003","math","problem-solving-data-analysis","hard","4.0","opensat","A store marks up items 40%. If cost is $50, sellin"
"opensat-geo-003","math","geometry-trigonometry","hard","3.5","opensat","In isosceles triangle, two angles are 50°. Third a"
"read-info-003","reading-writing","information-and-ideas","hard","4.0","generated","What is the relationship between biodiversity and "
"read-craft-003","reading-writing","craft-and-structure","hard","3.5","generated","What is the main purpose of this structure: 'Not o"
"read-expr-003","reading-writing","expression-of-ideas","hard","2.0","generated","Most active and concise version: 'The decision tha"
"read-std-003","reading-writing","standard-english-conventions","hard","3.5","generated","Correct: 'If I _____ the answer, I would tell you."
"agieval-alg-003","math","algebra","easy","4.0","agieval","Solve: x/2 = 5"
"agieval-adv-002","math","advanced-math","hard","3.0","agieval","Solve: (x-1)² = 9"
"agieval-prob-002","math","problem-solving-data-analysis","hard","4.0","agieval","If ratio is 2:3 and first part is 10, second part?"
"agieval-geo-002","math","geometry-trigonometry","medium","3.5","agieval","Area of triangle: base 8, height 6?"
"kaggle-alg-003","math","algebra","easy","4.0","kaggle","Solve: 10 - x = 3"
"kaggle-adv-001","math","advanced-math","medium","3.5","kaggle","Simplify: √50"
"kaggle-prob-002","math","problem-solving-data-analysis","hard","4.0","kaggle","If profit is 25% on $80 cost, selling price?"
"kaggle-geo-002","math","geometry-trigonometry","medium","3.5","kaggle","Volume of cylinder: radius 2, height 5?"
"read-info-004","reading-writing","information-and-ideas","easy","4.0","generated","What are the inputs for photosynthesis?"
"read-craft-004","reading-writing","craft-and-structure","medium","3.5","generated","What type of sentence is this: 'Although it was ra"
"read-expr-004","reading-writing","expression-of-ideas","medium","3.5","generated","Fix this run-on: 'The dog barked the cat hissed.'"
"read-std-004","reading-writing","standard-english-conventions","easy","4.0","generated","Correct: 'My _____ book is on the table.' (its/it'"
"opensat-alg-008","math","algebra","hard","3.0","opensat","Solve: |2x - 4| = 6"
"opensat-adv-005","math","advanced-math","hard","3.0","opensat","If 4^x = 1/16, what is x?"
"opensat-prob-004","math","problem-solving-data-analysis","medium","3.5","opensat","Median of 3, 5, 7, 9, 11 is?"
"opensat-geo-004","math","geometry-trigonometry","easy","4.0","opensat","Perimeter of rectangle: length 10, width 6?"
